species,Orden,Mean_brain_mass_g,Mean_body_mass_g,Fuentes,Body_for_3D
Hipposideros_fulvus,Chiroptera,0.24,7,"Jones & MacLarnon, 2004",NA
Hipposideros_galeritus,Chiroptera,0.28,10.4,"Jones & MacLarnon, 2004",NA
Hipposideros_grandis,Chiroptera,0.38,16.3,"Shi et al., 2018","Faurby et al., 2018"
Hipposideros_halophyllus,Chiroptera,0.15,4,"Jones & MacLarnon, 2004",NA
Hipposideros_lankadiva,Chiroptera,0.73,48.5,"Jones & MacLarnon, 2004",NA
Hipposideros_larvatus,Chiroptera,0.42,19.85,"Jones & MacLarnon, 2004",NA
Hipposideros_lekaguli,Chiroptera,0.58,30.3,"Jones & MacLarnon, 2004",NA
Hipposideros_lylei,Chiroptera,0.58,40,"Shi et al., 2018","Faurby et al., 2018"
Hipposideros_maggietaylorae,Chiroptera,0.54,20.5,"Jones & MacLarnon, 2004",NA
Hipposideros_pelingensis,Chiroptera,0.92,56.2,"Shi et al., 2018","Faurby et al., 2018"
Hipposideros_pomona,Chiroptera,0.23,6.2,"Jones & MacLarnon, 2004",NA
Hipposideros_ridleyi,Chiroptera,0.27,9.65,"Jones & MacLarnon, 2004",NA
Hipposideros_ruber,Chiroptera,0.27,7.3,"Jones & MacLarnon, 2004",NA
Hipposideros_speoris,Chiroptera,0.28,11.5,"Jones & MacLarnon, 2004",NA
Hipposideros_turpis,Chiroptera,0.6,34.8,"Jones & MacLarnon, 2004",NA
Hippotragus_equinus,Artiodactyla,387.9,238375,"Isler & van Schaik, 2012",NA
Hippotragus_niger,Artiodactyla,282,165000,"Isler & van Schaik, 2012",NA
Histriophoca_fasciata,Carnivora,248.75,87580,"Boddy et al., 2012",NA
Holochilus_chacarius,Rodentia,1.61,204,"Burger et al., 2019",NA
Holochilus_sciureus,Rodentia,1.41,112.3,"Boddy et al., 2012",NA
Homo_sapiens,Primates,1250.43,65142.86,"Boddy et al., 2012",NA
Hoolock_hoolock,Primates,110.68,6728.25,"Isler et al., 2008",NA
Hoplomys_gymnurus,Rodentia,4.13,330,"Boddy et al., 2012",NA
Hyaena_hyaena,Carnivora,97.5,36300,"Isler & van Schaik, 2012",NA
Hybomys_trivirgatus,Rodentia,1.1,57.5,"Boddy et al., 2012",NA
Hybomys_univittatus,Rodentia,1.07,54.7,"Isler & van Schaik, 2009",NA
Hydrictis_maculicollis,Carnivora,33,4300,"Isler & van Schaik, 2012",NA
Hydrochoerus_hydrochaeris,Rodentia,75,28500,"Boddy et al., 2012",NA
Hydromys_chrysogaster,Rodentia,4.33,698,"Boddy et al., 2012",NA
